Título (Português);Instituição;Cidade Instituição;Empresa;Município;Local de Pesquisa;Grande Área do Conhecimento;Área do Conhecimento;Subárea do Conhecimento;Assuntos;
Determinação da ação antimicrobiana e antioxidante de um aditivo natural à base de óleos essenciais e do seu efeito no desempenho da produção de frangos em condições comerciais;;;Terpenia Desenvolvimento de Bioinsumos Ltda;São Paulo;;Ciências Agrárias;Zootecnia;Nutrição e Alimentação Animal;Avicultura:Frangos de corte:Salmonella:Antioxidantes:Bactericidas:Aditivos alimentares para animal:Óleos essenciais:Eugenol:Timol; 
Desenvolvimento de algoritmo e novo método de reconhecimento facial, baseado em estrutura craniana, permitindo maior acurácia na identificação de indivíduos;;;Fullface Biometric Solutions Participações S/A;São Paulo;;Ciências Exatas e da Terra;Ciência da Computação;Metodologia e Técnicas da Computação;Visão computacional:Identificação biométrica:Inteligência artificial:Reconhecimento facial:Biometria; 
Sistema adaptativo de reabilitação por prática de exercícios físicos assistido por monitoramento remoto;;;Cyberphysics Company Tecnologia em Atividade Física Ltda. - Me;São Paulo;;Engenharias;Engenharia Biomédica;;Telemedicina:Tecnologias 4.0:Tecnologia assistiva:Sensores:Dispositivos móveis:Fisioterapia:Saúde pública:Sistema Único de Saúde; 
Busca do mecanismo de ação e efeito terapêutico de novas classes de fármacos contra Mycobacterium tuberculosis;Universidade Estadual Paulista (UNESP). Campus de Araraquara. Faculdade de Ciências Farmacêuticas (FCFAR);Araraquara;;;;Ciências Biológicas;Microbiologia;Microbiologia Aplicada;Micobacteriologia:Drogas em investigação:Tuberculose:Mycobacterium tuberculosis:Anti-infecciosos:Nanocarreadores:Farmacologia; 
Qualificador individual de frutos e hortaliças pela avaliação da conformidade do perfil, teor de umidade e teor de sólidos solúveis (açúcares);;;Alex Julio Trinca;Jundiaí;;Ciências Agrárias;Engenharia Agrícola;Construções Rurais e Ambiência;Frutas:Hortaliças:Qualidade do produto:Controle da qualidade:Ultrassom:Análise de imagens; 
Viabilidade do método de pulsos alternados de calor para medição de fluxo de seiva e conteúdo de água em plantas;;;Plantem Tecnologia em Plantas e Monitoramento Ambiental Ltda;São José dos Campos;;Ciências Biológicas;Botânica;Fisiologia Vegetal;Fenotipagem de plantas:Transpiração vegetal:Monitoramento ambiental:Plantas:Consumo de água:Mudança climática:Ciclo hidrológico:Recursos hídricos; 
Desenvolvimento de um equipamento de fluorescência de raios X multipropósito para análise direta de colmos de cana de açúcar e fertilizantes orgânicos;;;Farmresult Prestação de Serviços Agrícolas Ltda;Piracicaba;;Ciências Agrárias;Engenharia Agrícola;Engenharia de Processamento de Produtos Agrícolas;Espectroscopia de fluorescência:Fluorescência de raio X:Usinas:Colmos:Cana-de-açúcar:Fertilizantes orgânicos:Setor sucroenergético; 
Estudo da viabilidade do processamento de soldagem a laser de polímeros utilizando a soldagem por transmissão;;;Procoding Tecnologia para Rastreabilidade Industrial Ltda;São José dos Campos;;Engenharias;Engenharia de Materiais e Metalúrgica;;Materiais termoplásticos:Policarbonatos:Polímeros:Superfícies:Soldagem:Soldagem a laser:Laser:Indústrias:Produção em massa; 
EMU concedido no processo 2018/24069-3: Espectrômetro de Massas com Plasma Indutivamente Acoplado (ICP-MS);Universidade de São Paulo (USP). Faculdade de Ciências Farmacêuticas de Ribeirão Preto (FCFRP);Ribeirão Preto;;;;Ciências da Saúde;Farmácia;Análise Toxicológica;Exposômica:Exposição ambiental:Monitoramento biológico:Interação gene-ambiente:Toxicologia ambiental:Aquisição de equipamentos:Equipamentos multiusuários:Infraestrutura de pesquisa; 
Padronização do processo cervejeiro, caracterização da composição da cerveja e emissão de selos de qualidade utilizando técnicas de ressonância magnética nuclear;;;;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos;Cerveja:Processos de fabricação:Ressonância magnética nuclear:Certificação de qualidade:Espectrômetros:Caracterização molecular; 
Pesquisa e desenvolvimento de ferramentas de alto desempenho à base de grafeno (pesquisa e desenvolvimento do nanocompósito (PPA + grafeno/óxido de grafeno/óxido de grafeno reduzido) carbonUP);;;;;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Nanocompósitos:Grafenos:Óxido de grafeno:Ligas metálicas:Cobre:Berílio:Polímeros (materiais); 
Desenvolvimento de uma plataforma dermocosmética composta por máscaras faciais eletro-estimuladas;;;;;;Ciências da Saúde;Farmácia;Farmacotecnia;Cosmetologia:Dermocosméticos:Máscaras faciais:Terapia por estimulação elétrica:Fibroínas:Ácido hialurônico:Colágeno; 
Desenvolvimento de nanoprodutos e materiais mesoporosos contendo óleos essenciais;;;;;;Ciências da Saúde;Farmácia;Farmacotecnia;Cosmecêuticos:Encapsulação :Materiais mesoporosos:Óleos essenciais:Citronela:Óleo de cravo:Sílica mesoporosa:Termogravimetria; 
Teste preditivo para medicação bem sucedida em pacientes com Esquizofrenia no momento do diagnóstico;;;;;;Ciências Biológicas;Bioquímica;Química de Macromoléculas;Lipidômica:Esquizofrenia:Diagnóstico:Plasma sanguíneo:Antipsicóticos:Efeitos colaterais e reações adversas relacionados a medicamentos; 
Construção e validação de dispositivo para monitoramento, controle e automação de processos de compostagem;;;;;;Engenharias;Engenharia Sanitária;Saneamento Ambiental;Compostagem:Dispositivos móveis:Monitoramento remoto:Tomada de decisão:Computação em nuvem; 
Isolamento e caracterização de microrganismos associados a espécies vegetais adaptadas a condições nutricionais limitantes;Universidade Estadual de Campinas (UNICAMP). Centro de Biologia Molecular e Engenharia Genética (CBMEG);Campinas;;;;Ciências Biológicas;Genética;Genética Molecular e de Microorganismos;Interação planta-patógeno:Micro-organismos:Campos rupestres:Zona semiárida:Velloziaceae:Serra da Canastra (MG); 
Sistema adaptativo de reabilitação por prática de exercícios físicos assistido por monitoramento remoto;;;;;;Engenharias;Engenharia Biomédica;;Tecnologia assistiva:Fisioterapia:Exercício físico:Telerreabilitação:Telemonitoramento:Dispositivos portáteis; 
Desenvolvimento de matriz dérmica bilaminar de colágeno bovino impregnada com agente bacteriostático;;;MLA Suprimentos Médicos Ltda;Jundiaí;;Ciências da Saúde;Medicina;Cirurgia;Ferimentos e lesões:Queimaduras:Exantema:Cirurgia plástica:Matriz dérmica acelular:Colágeno; 
Pesquisa e desenvolvimento de ferramentas de alto desempenho à base de grafeno (pesquisa e desenvolvimento do nanocompósito (PPA + grafeno/óxido de grafeno/óxido de grafeno reduzido) carbonUP);;;CarbonUP Consultoria, Pesquisa e Desenvolvimento de Materiais Ltda;São Paulo;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Pesquisa e desenvolvimento:Materiais compósitos poliméricos:Nanocompósitos:Grafenos; 
Teste preditivo para medicação bem sucedida em pacientes com esquizofrenia no momento do diagnóstico;;;Licia Carla da Silva Costa;Campinas;;Ciências Biológicas;Bioquímica;Química de Macromoléculas;Diagnóstico clínico:Esquizofrenia:Tratamento farmacológico:Adesão à medicação:Efeitos colaterais e reações adversas relacionados a medicamentos:Antipsicóticos:Plasma sanguíneo:Lipidômica:Espectrometria de massas; 
Marcadores de transição epitélio-mesenquimal e de homeostase metabólica associados a resistência ao quimioterápico cetuximabe e de sensibilidade colateral à piplartina em carcinoma de cabeça e pescoço;Secretaria de Desenvolvimento Econômico (São Paulo - Estado). Faculdade de Medicina de São José do Rio Preto (FAMERP);São José do Rio Preto;;;;Ciências da Saúde;Medicina;;Neoplasias de cabeça e pescoço:Metabolismo dos lipídeos:Transição epitelial-mesenquimal:Expressão gênica:Quimioterápicos:Homeostase:Proliferação:Progressão tumoral; 
Estudo da viabilidade do processamento de soldagem a laser de polímeros utilizando a soldagem por transmissão;;;;;;Engenharias;Engenharia de Materiais e Metalúrgica;;Soldagem a laser:Polímeros:Laser; 
HubDoctor: plataforma computacional para avaliação da gravidade de problemas bucais, urgência de agendamento, indicação dos profissionais mais qualificados para o caso, comunicação paciente-profissional e agendamento personalizado;;;;;;Interdisciplinar;;;Saúde bucal:Plataforma (computação):Computação em nuvem:Inteligência artificial:Sistemas de recomendação; 
Sistema de controle de lavra, usina e manutenção para minerações de pequeno e médio porte;;;;;;Engenharias;Engenharia de Minas;Lavra;Indústrias:Indústria extrativa mineral:Mineração:Sensoriamento:Internet das coisas; 
Viabilidade do método de pulsos alternados de calor para medição de fluxo de seiva e conteúdo de água em plantas;;;;;;Ciências Biológicas;Botânica;Fisiologia Vegetal;Transpiração vegetal:Fenotipagem de plantas:Monitoramento:Tempo-real:Ciclo hidrológico:Sensores:Uso eficiente da água:Modelagem termodinâmica; 
Desenvolvimento de microagulhas poliméricas para tratamento tópico do Melasma;;;;;;Ciências da Saúde;Farmácia;Farmacotecnia;Sistemas de liberação de medicamentos:Melanose:Agulhamento seco; 
Melhoria da qualidade de vida individual dos funcionários e dos resultados da empresa: baseado em soluções personalizadas de benefícios;;;Benfitbox Soluções Tecnológicas Ltda;São Paulo;;Ciências Sociais Aplicadas;Economia;Economia dos Recursos Humanos;Cultura organizacional:Relações humanas:Relações de trabalho:Experiências:Diversidade:Inclusão:Qualidade de vida:Bem-estar:Bem-estar social; 
Prototipação de plataforma de software para gestão e controle da manutenção de ativos de plantas industriais integrada com modelos de manutenção preditiva;;;Dipsie Engenharia e Software S/A;Vinhedo;;Engenharias;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação;Manutenção preditiva:Modelos matemáticos:Modelos preditivos:Automação industrial:Aprendizado computacional:Plataforma (computação):Softwares:Indústrias:Indústria 4.0; 
Construção e validação de dispositivo para monitoramento, controle e automação de processos de compostagem;;;Faz Verde Soluções Ambientais Ltda;Sorocaba;;Engenharias;Engenharia Sanitária;Saneamento Ambiental;Compostagem:Estações de compostagem:Monitoramento remoto:Automação:Manejo; 
Medicina veterinária de precisão: desenvolvimento de plataforma de análise de microbiota voltada para a saúde dos animais de estimação;;;Progenix Pesquisa e Artigos para Laboratório Ltda;Ribeirão Preto;;Ciências Biológicas;Genética;Genética Molecular e de Microorganismos;Medicina veterinária:Saúde animal:Biologia computacional:Genômica:Microbiota:Nutrigenômica:Animais domésticos:Plataforma (computação); 
Desenvolvimento de módulo e sistema para aquisição e processamento de dados ambientais utilizando smartphones - DAPMED;;;Versis Tecnologia Ltda;Campinas;;Engenharias;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação;Espectrofotometria:Análise ambiental:Processamento de dados:Sistema de aquisição de dados:Dados ambientais:Sensores eletroquímicos:Smartphone:Android; 
Desenvolvimento de uma vacina indutora de células T contra a infecção pelo SARS-CoV-2;;;Imunotera Soluções Terapêuticas Ltda. - EPP;São Paulo;;Ciências Biológicas;Microbiologia;Microbiologia Aplicada;Imunologia:Infecções por Coronavirus:SARS-CoV-2:COVID-19:Biotecnologia:Adjuvantes imunológicos:Vacinas de DNA:Vacinas contra COVID-19:Enzima conversora da angiotensina 2:Linfócitos T CD8-positivos; 
Densímetro flutuante online para controle da fermentação alcoólica de bebidas;;;Wisersoft Tecnologia em Sistemas Ltda. - ME;Jacareí;;Interdisciplinar;;;Tecnologia de alimentos:Indústria de bebidas:Bebidas alcoólicas:Fermentação:Densímetros:Automação:Indústria 4.0; 
Estudo de redução do impacto ambiental de uma máquina corporativa de lavar copos;;;Ecotec Soluções em Automação Sustentável Ltda;São Paulo;;Engenharias;Engenharia Mecânica;Projetos de Máquinas;Sustentabilidade:Desenvolvimento de produtos:Impactos ambientais:Maquinaria; 
Desenvolvimento de um transceptor UHF/VHF para aplicações em sistemas de TT&C de Cube e Nanosats;;;Essado de Morais Ltda. - ME;Franca;;Engenharias;Engenharia Aeroespacial;Sistemas Aeroespaciais;Telecomunicações:Satélites:Transceptores; 
Sistema de controle de lavra, usina e manutenção para minerações de pequeno e médio porte;;;Dynamine Consultoria em Engenharia Ltda;São Paulo;;Engenharias;Engenharia de Minas;Lavra;Indústria 4.0:Internet das coisas:Sensoriamento:Equipamentos de mineração:Mineração:Usinas; 
Desenvolvimento de Putty bactericida à base de biovidro para uso como enxerto ósseo em pacientes acometidos por osteomielite;;;Vetra Pesquisa e Desenvolvimento de Produtos Cerâmicos de Alta Tecnologia Ltda;São Carlos;;Interdisciplinar;;;Biomateriais:Bioatividade:Biovidro:Enxerto ósseo:Osteomielite:Anti-infecciosos:Staphylococcus aureus; 
Aril-alquilamido-piperazinas substituídas como ligantes multialvo: síntese e avaliação da atividade em alvos relevantes para o tratamento de desordens do SNC;Universidade Federal de São Paulo (UNIFESP). Campus Diadema. Instituto de Ciências Ambientais, Químicas e Farmacêuticas (ICAQF);Diadema;;;;Ciências da Saúde;Farmácia;;Química farmacêutica:Doenças neurodegenerativas:Inibidores da colinesterase:Antagonistas dos receptores histamínicos:Receptores dopaminérgicos:Acetilcolinesterase:Receptores acoplados a proteínas G; 
Remoção de fósforo presente em efluentes de estações de tratamento de esgotos utilizando TechPhos;;;BRTech Soluções Tecnológicas Ltda;São Carlos;;Engenharias;Engenharia Sanitária;Saneamento Ambiental;Adsorção:Efluentes:Eutrofização:Fósforo:Tratamento de esgotos sanitários:Estações de tratamento de água; 
Equipamento Multiusuário (EMU) concedido no processo 20/07611-9: Instrumento para PCR Quantitativo em Tempo Real (qPCR);Universidade Estadual Paulista (UNESP). Campus de Ilha Solteira. Faculdade de Engenharia (FEIS);Ilha Solteira;;;;Ciências Agrárias;Agronomia;Fitossanidade;Reação em cadeia da polimerase em tempo real:Fungicidas:Doenças de plantas:Manejo integrado de pragas:Aquisição de equipamentos:Equipamentos multiusuários:Infraestrutura de pesquisa; 
