Empresa;Área do Conhecimento;Subárea do Conhecimento
Finamac Arpifrio Engenharia e Industrialização de Equipamentos Industriais Ltda (Finamac);Engenharia Mecânica;Projetos de Máquinas
Techduto Indústria e Comércio de Máquinas e Artefatos de Plásticos Ltda;Engenharia Mecânica;Projetos de Máquinas
Alltec Indústria de Componentes em Materiais Compostos Importação Exportação Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Kryptus Segurança da Informação Ltda;Ciência da Computação;Sistemas de Computação
Sensycal Instrumentos e Sistemas Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Scipopulis Desenvolvimento e Análise de Dados Ltda;Ciência da Computação;Sistemas de Computação
Tey Indústria e Comércio Ltda. - ME;Engenharia Elétrica;Sistemas Elétricos de Potência
Mmtech Projetos Tecnológicos Importação e Exportação Ltda;Odontologia;Materiais Odontológicos
Inprenha Biotecnologia e Desenvolvimento Animal Ltda;Medicina Veterinária;Reprodução Animal
Oralls Importação e Exportação Comercial Ltda. - ME;Odontologia;Odontologia Social e Preventiva
Ecoplas Equipamentos Industriais Ltda;Engenharia Química;Processos Industriais de Engenharia Química
Reciclapac Soluções para Embalagens Ltda;Engenharia de Transportes;Operações de Transportes
Techa Engenharia Ltda. - ME;Engenharia Mecânica;Projetos de Máquinas
Immunogenic Assessoria e Diagnóstico em Saúde Ltda - EPP;Medicina;Saúde Materno-infantil
Pensabio Instrumentos de Biotecnologia Ltda;Genética;Genética Humana e Médica
Apis Flora Industrial e Comercial Ltda;Imunologia;Imunologia Aplicada
Itera Inovação e Desenvolvimento Tecnológico Ltda. - ME;Ciência da Computação;Metodologia e Técnicas da Computação
Quantum Biotecnologia, Equipamentos, Serviços de Laboratório Ltda. - ME;Bioquímica;Biologia Molecular
Kopp Pesquisa e Desenvolvimento Científico Ltda. - ME;Engenharia Química;Tecnologia Química
Vital Brasil Chemical Indústria e Comércio de Produtos Químicos Ltda. - ME;Agronomia;Fitossanidade
Bioativos Naturais Ltda. - ME;Ciência e Tecnologia de Alimentos;Engenharia de Alimentos
Imunotera Soluções Terapêuticas Ltda. - EPP;Imunologia;Imunologia Aplicada
KartFly Entretenimento Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Ibi Agentes Biológicos Ltda;Agronomia;Fitossanidade
Cogneti-Tec Sistemas Ltda. - ME;Engenharia Elétrica;Telecomunicações
Braincare Desenvolvimento e Inovação Tecnológica Ltda;Engenharia Biomédica;Engenharia Médica
Time Energy Indústria e Comércio Eireli - EPP;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Eccaplan Consultoria em Desenvolvimento Sustentável Ltda. - ME;Engenharia Sanitária;Saneamento Ambiental
Brunoro e Orsatti Pesquisa e Desenvolvimento Ltda;Engenharia de Produção;Pesquisa Operacional
Bio Proj Tecnologia Ambiental Ltda;Engenharia Sanitária;Tratamentos de Águas de Abastecimento e Residuárias
AGA Consultoria e Desenvolvimento de Projetos Técnico-Científicos Ltda. - ME;Engenharia Química;Tecnologia Química
Dualtronics Indústria de Máquinas Ltda;Engenharia Mecânica;Projetos de Máquinas
INVITRA - Tecnologia da Reprodução Assistida Ltda;Medicina Veterinária;Reprodução Animal
Raifa Sistemas de Informática Ltda. - ME;Ciência da Computação;Metodologia e Técnicas da Computação
Venbion Serviços de Laboratório Ltda;Microbiologia;Microbiologia Aplicada
Aeroteste Soluções em Aviação Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
CFLEX MPC Desenvolvimento e Comercialização de Sistemas Limitada;Ciência da Computação;Metodologia e Técnicas da Computação
Milton Flavio de Macedo Comércio de Equipamentos Médicos Eletrônicos;Engenharia Mecânica;Processos de Fabricação
Terrafísica Inovações Sismológicas Ltda;Geociências;Geofísica
Marco Antonio Nardy - ME;Ciência da Computação;Sistemas de Computação
Terrafísica Inovações Sismológicas Ltda;Geociências;Geofísica
M&A Tecnologia e Serviços Ltda;Engenharia Sanitária;Saneamento Básico
Simone Cristina Picchi;Agronomia;Fitossanidade
One Sports Ltda. - ME;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Itatijuca Biotech Ltda;Engenharia Química;Tecnologia Química
Aredes Equipamentos Hospitalares Ltda;Engenharia Biomédica;Engenharia Médica
B&M Pesquisa e Desenvolvimento Ltda. - EPP;Engenharia Elétrica;Materiais Elétricos
Xastre Peternela Consultoria Ltda. - ME;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Mellifera - Consultoria Tecnológica Eireli;Zootecnia;Produção Animal
M C Tech Biotecnologia Ltda;Bioquímica;Bioquímica de Microorganismos
Nexlab Soluções Tecnológicas Ltda. - ME;Engenharia Elétrica;Sistemas Elétricos de Potência
Scipopulis Desenvolvimento e Análise de Dados Ltda;Ciência da Computação;Sistemas de Computação
Techduto Indústria e Comércio de Máquinas e Artefatos de Plásticos Ltda;Engenharia Mecânica;Projetos de Máquinas
DEV Tecnologia, Indústria, Comércio, Manutenção de Equipamentos Ltda. - ME;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Marcel José Lemes Pinheiro Serviços - EPP;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
OAM Obras e Restauração Ltda. - ME;Engenharia Mecânica;Projetos de Máquinas
Selaz Indústria e Comércio de Aparelhos Biomecânicos Ltda (SELAZ);Engenharia Biomédica;Engenharia Médica
Eliza Massako Akiyama Ota;Ciência da Computação;Sistemas de Computação
Viatech Indústria, Comércio e Prestação de Serviço Ltda;Engenharia Mecânica;Projetos de Máquinas
Advance Soluções em Informática Ltda;Ciência da Computação;Sistemas de Computação
Gabisa Medical International Ltda;Engenharia Mecânica;Projetos de Máquinas
I.Systems Automação Industrial S/A;Engenharia Sanitária;Recursos Hídricos
TEC3GEO Geotecnologias para o Meio Ambiente Ltda. - ME;Geociências;Geofísica
Viafauna Estudos Ambientais Ltda;Recursos Florestais e Engenharia Florestal;Conservação da Natureza
DC Química, Representação e Comércio de Produtos Químicos Ltda;Microbiologia;Biologia e Fisiologia dos Microorganismos
Mvisia Desenvolvimentos Inovadores Ltda;Ciência da Computação;Sistemas de Computação
Eleve Pesquisa e Desenvolvimento Ltda;Farmácia;Farmacotecnia
Dentillo e Gavio Identificação e Quantificação Molecular Ltda. - ME;Medicina;Clínica Médica
Smartbio Desenvolvimento Tecnológico Ltda (Smartbio);Agronomia;Fitossanidade
Treevia Serviços de Engenharia Ltda. - ME;Recursos Florestais e Engenharia Florestal;Manejo Florestal
Laboratório Biosintesis P & D do Brasil Ltda;Bioquímica;Biologia Molecular
Tambora Engenharia de Materiais Metálicos e Industriais Ltda;Engenharia Mecânica;Processos de Fabricação
Peixe do Mar Aquicultura Marinha Sustentável Ltda. - ME;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
TV On Demand Consultoria e Soluções S/S Ltda;Engenharia Elétrica;Telecomunicações
Fernando Takashi Kanemoto;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
BR Labs Tecnologia Óptica e Fotônica Ltda;Física;Física da Matéria Condensada
DMA Indústria e Tecnologia Eireli - EPP;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Fortelab Fornos Técnicos de Laboratório Ltda. - EPP;Engenharia de Materiais e Metalúrgica;Instalações e Equipamentos Metalúrgicos
Promip Comércio, Pesquisas e Desenvolvimento de Agentes Biológicos Ltda (PROMIP);Agronomia;Fitossanidade
BrPhotonics Produtos Optoeletrônicos Ltda;Engenharia Elétrica;Telecomunicações
Acquest Geologia e Geofísica Subaquática Ltda;Engenharia de Produção;Pesquisa Operacional
Andrea de Souza Stockl;Ciência da Computação;Metodologia e Técnicas da Computação
Dr Stanley Nutrição e Bem Estar Ltda. - ME;Zootecnia;Nutrição e Alimentação Animal
Dsma Desenvolvimento Sustentável e Monitoramento Ambiental Ltda. - EPP;Microbiologia;Microbiologia Aplicada
Partículas Desenvolvimento e Tecnologia em Materiais Ligno Celulósicos Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Ciaware Centro de Informatizações e Análises Ltda;Engenharia Biomédica;Engenharia Médica
Sisterm - Comércio e Instalação de Ar Condicionado Ltda;Engenharia Mecânica;Engenharia Térmica
Altave Indústria, Comércio e Exportação de Aeronaves S/A;Engenharia Aeroespacial;Sistemas Aeroespaciais
Cursor - Softwares para Identificação e Controle Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Onion Tecnologia Ltda. - ME;Ciência da Computação;Metodologia e Técnicas da Computação
Yechi Comercial, Locadora, Distribuidora, Importadora e Exportadora de Produtos em Geral Ltda;Ciência da Computação;Sistemas de Computação
Caos Focado Consultoria Ltda;Matemática;Matemática Aplicada
João Batista Sgorbissa - ME;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Onkos Diagnósticos Moleculares Ltda. - ME;Genética;Genética Humana e Médica
Neoinfinito Softwares - Eireli;Engenharia de Produção;Pesquisa Operacional
Innolution Sistemas de Informática Ltda;Medicina;Radiologia Médica
Avita Produtos Químicos Farmacêuticos Ltda;Farmácia;Análise e Controle de Medicamentos
Developnow Projetos de Software e Eletrônica Ltda. - ME;Física;Física da Matéria Condensada
Pangeiabiotech Pesquisa e Desenvolvimento Ltda;Genética;Genética Vegetal
Innovare Biotecnologia e Saúde Animal Ltda;Biofísica;Biofísica de Processos e Sistemas
Dietech Automação Industrial e Robótica Ltda;Engenharia Agrícola;Engenharia de Água e Solo
Nchemi Engenharia de Materiais Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Nitryx Consultoria e Informática Ltda;Ciência da Computação;Sistemas de Computação
Sustentare Gestão e Treinamento Ltda;Química;Química Analítica
Accert Pesquisa e Desenvolvimento em Química e Biotecnologia Ltda (ACCERT);Química;Química Orgânica
Accert Pesquisa e Desenvolvimento em Química e Biotecnologia Ltda (ACCERT);Química;Química Orgânica
Afinko Soluções em Polímeros Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Achilles Genetics Biotecnologia em Reprodução Animal Ltda;Medicina Veterinária;Reprodução Animal
Bioemergens Brasil Ltda;Engenharia Biomédica;Engenharia Médica
Figlabs Pesquisa e Desenvolvimento Ltda (Figlabs);Engenharia Biomédica;Bioengenharia
Labmaq do Brasil Ltda;Agronomia;Fitossanidade
Tecplas Indústria e Comércio Ltda. - EPP;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Tech - Inovações Tecnológicas para a Agropecuária Ltda;Zootecnia;Produção Animal
Geomap Ltda;Agronomia;Agrometeorologia
NBL Engenharia Ambiental Eireli - EPP;Recursos Florestais e Engenharia Florestal;Conservação da Natureza
Salt Sea & Limno Technology Consultoria Ambiental Ltda;Oceanografia;Oceanografia Geológica
Cis Biomoléculas Ltda. - ME;Farmácia;Farmacognosia
Capillare Serviços de Pesquisa e Inovação Ltda;Farmácia;Farmacotecnia
Engrenar Tecnologia Ltda;Educação;Ensino-aprendizagem
Agesan Arquitetura e Engenharia Ltda;Engenharia Sanitária;Saneamento Ambiental
Virtualcae Comércio e Serviços de Sistemas Ltda. - EPP;Engenharia Mecânica;Mecânica dos Sólidos
Nchemi Engenharia de Materiais Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
BRP Inovação, Assessoria e Representação Comercial Ltda;Engenharia Química;Tecnologia Química
Ultrapan Indústria e Comércio Ltda;Farmácia;Farmacotecnia
Kairos Lab Ltda. - ME;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Enterup Tecnologia em Sistemas Ltda - ME;Ciência da Computação;Metodologia e Técnicas da Computação
Immunodot Indústria e Pesquisa de Produtos para Diagnóstico Ltda. - ME;Medicina Veterinária;Medicina Veterinária Preventiva
Brax Indústria e Comércio de Máquinas e Equipamentos Eletrônicos Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Keme Desenvolvimento e Comércio de Instrumentos Científicos Ltda;Química;Química Analítica
Soraya El Khatib - EPP;Farmácia;Farmacotecnia
CL Empreendimentos Biológicos Ltda. - EPP;Agronomia;Fitossanidade
R4F Tecnologia em Telecomunicações Ltda;Engenharia Agrícola;Máquinas e Implementos Agrícolas
LHColus Tecnologia Ltda. - ME;Engenharia Aeroespacial;Sistemas Aeroespaciais
Ventrix Holding S/A;Engenharia Biomédica;Engenharia Médica
Nanomed Nanotecnologia em Saúde e Bem-Estar Eireli;Física;Física da Matéria Condensada
MarquesParizotto Engenharia S/S;Engenharia Sanitária;Saneamento Ambiental
Nanox Tecnologia S/A;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Bradar Indústria S/A;Engenharia Elétrica;Telecomunicações
Victor Vision Indústria, Comércio, Importação e Exportação de Equipamentos Médicos Odontológicos Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Libera Tecnologia e Inovação Ltda;Engenharia Química;Tecnologia Química
ALS Laboratórios LS Ltda;Ciência e Tecnologia de Alimentos;Ciência de Alimentos
Bioativos Naturais Ltda. - ME;Ciência e Tecnologia de Alimentos;Ciência de Alimentos
IQX Inove Qualyx Tecnologia e Desenvolvimento em Resinas Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
BioTecnoVale Pesquisa e Desenvolvimento Ltda. - EPP;Engenharia Biomédica;Bioengenharia
Lipid Ingredients & Technologies Ltda. - ME;Farmácia;Farmacotecnia
DPR Engenharia Assessoria e Consultoria em Projetos da Área Petrolífera Ltda;Engenharia Naval e Oceânica;Projeto de Navios e de Sistemas Oceânicos
Decoy Tecnologia em Controle de Pragas S/A;Ecologia;Ecologia Aplicada
Minaplan Comércio e Serviços Ltda;Engenharia de Minas;Tratamento de Minérios
Mark Spekken Engenharia;Engenharia Agrícola;Máquinas e Implementos Agrícolas
Scheme Lab Propriedade Industrial S/S Ltda;Bioquímica;Biologia Molecular
Doppia M Projetos Socioculturais e Serviços Administrativos Ltda;Artes;Teatro
Inreservoir Solutions - Projetos e Pesquisas em Ciências e Engenharia de Petróleo Ltda;Engenharia Mecânica;Fenômenos de Transportes
Nervera Serviços de Informática Ltda. - ME;Ciência da Computação;Sistemas de Computação
Luxtec Sistemas Ópticos Ltda;Física;Física da Matéria Condensada
Invent Biotecnologia Ltda. - ME;Bioquímica;Química de Macromoléculas
Radeco Consultoria Empresarial Ltda;Ciência da Computação;Sistemas de Computação
DPR Engenharia Assessoria e Consultoria em Projetos da Área Petrolífera Ltda;Engenharia Naval e Oceânica;Estruturas Navais e Oceânicas
Tallahassee Ltda;Engenharia Química;Processos Industriais de Engenharia Química
Equatorial Sistemas S/A;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Dinamo Networks - Serviços, Desenvolvimento e Participações em Consórcios ou Empresas Ltda;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
Atmos Sistemas Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Produtos Químicos Guaçu Indústria e Comércio Ltda (PQG);Química;Química Inorgânica
WSGB Laboratórios Ltda;Farmácia;Farmacotecnia
Omnisys Engenharia Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Omnisys Engenharia Ltda;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
Omnisys Engenharia Ltda;Engenharia Elétrica;Sistemas Elétricos de Potência
Omnisys Engenharia Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Equatorial Sistemas S/A;Engenharia Mecânica;Projetos de Máquinas
Engecer Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
PHC Serviços Administrativos e Projetos Ltda. - ME;Administração;Administração de Empresas
Macnica DHW Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Terra Azul Tecnologia de Polímeros Naturais Ltda;Bioquímica;Química de Macromoléculas
Equatorial Sistemas S/A;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Felipe Azevedo Moretti;Saúde Coletiva;Saúde Pública
Mycofinder Genômica e Controle Biológico Ltda;Genética;Genética Molecular e de Microorganismos
3T Biopolímeros Serviços de Pesquisa Ltda;Medicina;Cirurgia
Genotyping Laboratório de Biotecnologia Ltda (Genotyping);Microbiologia;Microbiologia Aplicada
Sharewater Projetos, Indústria e Comércio em Sistemas Hidráulicos Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Colly Química Indústria e Comércio Ltda. - EPP;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
